endTime,startTime,minutesAsleep,minutesAwake,deep,rem
21633,86452,320,20,88,76
21651,79258,450,23,113,80
21606,82823,396,6,70,94
21658,86451,353,14,50,49
10858,79225,325,3,56,39
18046,75653,452,21,36,112
25217,82852,431,13,59,63
21627,79209,482,16,62,37
10843,75630,365,8,67,79
21604,82802,412,9,64,101
14418,82819,297,2,9,62
25205,93622,275,7,53,56
21644,82809,421,34,69,84
18033,79227,393,32,44,57
18059,82819,390,8,69,82
25202,86441,370,11,43,41
21626,82834,405,7,50,64
21627,79218,470,19,76,73
14420,75642,393,3,52,66
25239,93619,308,11,31,44
21632,79240,458,14,115,99
18025,79256,378,11,105,96
25224,82836,441,27,61,81
21638,82800,446,12,53,102
10818,79201,316,1,26,49
57650,133233,196,0,13,34
21650,79243,454,33,51,114
18035,79234,408,11,36,80
21643,79255,451,16,77,86
18048,79201,443,23,84,78
14444,79219,374,10,55,88
